ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
877,Nuclear,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,12048,0,1,1,1,1
878,Nuclear,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,10793,0,1,1,1,1
1081,Wind,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,34040,0,0,1,1,0
1082,Wind,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,36561,0,0,1,1,0
1083,Wind,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,26600,0,0,1,1,0
1084,Wind,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,31300,0,0,1,1,0
1085,Wind,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,28254,0,0,1,1,0
1086,Wind,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,43429,0,0,1,1,0
1289,Solar,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,36913,0,0,1,1,0
1290,Solar,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,37981,0,0,1,1,0
1291,Solar,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,16600,0,0,1,1,0
1292,Solar,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,33100,0,0,1,1,0
1293,Solar,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,22306,0,0,1,1,0
1294,Solar,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,38411,0,0,1,1,0
1497,"Biomass and biogas","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,5856,0,0,0,1,1
1498,"Biomass and biogas","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,6359,0,0,0,1,1
1499,"Biomass and biogas","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,1,1
1500,"Biomass and biogas","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,5700,0,0,0,1,1
1501,"Biomass and biogas","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,1,1
1502,"Biomass and biogas","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,6915,0,0,0,1,1
1705,"Fossil fuels","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,82891,0,1,0,0,0
1706,"Fossil fuels","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,85800,0,1,0,0,0
1707,"Fossil fuels","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,69300,0,1,0,0,0
1708,"Fossil fuels","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,81945,0,1,0,0,0
1709,"Fossil fuels","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,66967,0,1,0,0,0
1710,"Fossil fuels","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,78746,0,1,0,0,0
1913,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,1,1,1,1
1914,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,1,1,1,1
1915,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,4500,0,1,1,1,1
1916,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,1,1,1,1
1917,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,3263,0,1,1,1,1
1918,"Other or unspecified energy sources","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,1,1,1,1
2121,"Differently categorized solar","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,36913,0,0,0,0,1
2122,"Differently categorized solar","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,37981,0,0,0,0,1
2123,"Differently categorized solar","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,16600,0,0,0,0,1
2124,"Differently categorized solar","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,33100,0,0,0,0,1
2125,"Differently categorized solar","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,22306,0,0,0,0,1
2126,"Differently categorized solar","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,38411,0,0,0,0,1
2329,"Differently categorized wind","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,34040,0,0,0,0,1
2330,"Differently categorized wind","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,36561,0,0,0,0,1
2331,"Differently categorized wind","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,26600,0,0,0,0,1
2332,"Differently categorized wind","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,31300,0,0,0,0,1
2333,"Differently categorized wind","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,28254,0,0,0,0,1
2334,"Differently categorized wind","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,43429,0,0,0,0,1
2537,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,5856,0,0,1,0,0
2538,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,6359,0,0,1,0,0
2539,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,0,0
2540,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,5700,0,0,1,0,0
2541,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,0,0
2542,"Bioenergy and renewable waste","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,6915,0,0,1,0,0
2745,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,82891,0,0,1,1,1
2746,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,85800,0,0,1,1,1
2747,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,69300,0,0,1,1,1
2748,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,81945,0,0,1,1,1
2749,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,66967,0,0,1,1,1
2750,"Differently categorized fossil fuels","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,78746,0,0,1,1,1
2953,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,10780,0,0,0,0,1
2954,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,10708,0,0,0,0,1
2955,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,10700,0,0,0,0,1
2956,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,10800,0,0,0,0,1
2957,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
2958,"Differently categorized hydro","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,9610,0,0,0,0,1
3161,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,551,0,0,1,1,1
3162,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,586,0,0,1,1,1
3163,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,4200,0,0,1,1,1
3164,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,800,0,0,1,1,1
3165,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,2972,0,0,1,1,1
3166,"Differently categorized renewable energy sources","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,559,0,0,1,1,1
3369,"Renewable energy sources","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,88140,0,1,0,0,0
3370,"Renewable energy sources","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,92195,0,1,0,0,0
3371,"Renewable energy sources","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,58100,0,1,0,0,0
3372,"Renewable energy sources","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,81700,0,1,0,0,0
3373,"Renewable energy sources","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,62741,0,1,0,0,0
3374,"Renewable energy sources","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,98924,0,1,0,0,0
3577,Total,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,183099,1,0,0,0,0
3578,Total,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,190063,1,0,0,0,0
3579,Total,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,152200,1,0,0,0,0
3580,Total,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,175713,1,0,0,0,0
3581,Total,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,145019,1,0,0,0,0
3582,Total,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,188463,1,0,0,0,0
